f [Hz],|Accel|,|Force|,Arg(Accel) [deg],Arg(Force) [deg]
5.0000000,0.0188355,0.0052993,-33.2735542,-61.0436949
6.0000000,0.0332835,0.0053142,-191.3022007,136.7672617
7.0000000,0.0534388,0.0047383,-63.7995858,-100.8930411
8.0000000,0.0800866,0.0032917,-190.4130049,129.8614034
9.0000000,0.1142669,0.0014566,147.4163352,127.7207662
10.0000000,0.1594506,0.0025477,-130.2628073,-27.2318693
11.0000000,0.2123791,0.0065539,-123.1301074,-20.4003022
12.0000000,0.2796935,0.0112598,-11.8851716,91.9533617
13.0000000,0.3651177,0.0186003,-156.3975801,-52.6857071
14.0000000,0.4826550,0.0303551,161.9193801,-99.0677950
15.0000000,0.5712208,0.0383810,-138.4094154,-49.0355216
16.0000000,0.7220538,0.0517895,211.6575368,-62.8778709
17.0000000,0.9373548,0.0719690,-58.9694114,21.2924577
18.0000000,1.1532323,0.0943033,131.5937610,205.8428695
19.0000000,1.3757121,0.1209752,61.4519939,130.5108126
20.0000000,1.5000989,0.1464382,91.6821595,154.5757240
21.0000000,1.5322613,0.1497740,40.3648355,97.1410331
22.0000000,1.4926893,0.1346561,-261.0625675,-209.4370655
23.0000000,1.4362009,0.1163248,-92.4208069,-45.7399412
24.0000000,1.3778353,0.0965875,-174.3263156,-130.6269153
25.0000000,1.2901152,0.0900566,-139.2734834,-97.8097701
26.0000000,1.4149789,0.0974455,-192.0393568,-158.4842440
27.0000000,1.4218564,0.0838866,-150.4624981,-122.3670530
28.0000000,1.4144065,0.0580585,-6.2660485,19.3561682
29.0000000,1.3885297,0.0264550,-118.1845692,-80.2552849
30.0000000,1.2912933,0.0180899,55.4719006,-173.9311018
31.0000000,1.1324558,0.0440043,-25.8812393,131.0412345
32.0000000,0.9529283,0.0659419,-0.6500717,157.0336695
33.0000000,0.7513506,0.0809986,131.9596367,-74.1842742
34.0000000,0.5942449,0.0907462,11.0287061,160.1618077
35.0000000,0.4827340,0.0978260,176.0218306,-40.1573088
36.0000000,0.4058147,0.1026452,85.9282682,-135.4138267
37.0000000,0.3569850,0.1064644,101.0384036,-125.6954113
38.0000000,0.3299021,0.1101632,220.8437583,-11.5220257
39.0000000,0.3261798,0.1135189,84.7759328,207.0996095
40.0000000,0.3443494,0.1169548,232.6617774,-10.4102172
41.0000000,0.3832186,0.1207232,124.2110789,236.0130462
42.0000000,0.4477742,0.1247529,119.4404246,226.1001938
43.0000000,0.5494063,0.1291606,-142.0529548,-40.5520319
44.0000000,0.7031373,0.1321735,58.1257249,-204.9408304
45.0000000,0.8914967,0.1319385,-181.6900674,-88.1619572
46.0000000,1.0352302,0.1252295,38.0556083,-230.8397975
47.0000000,1.1377297,0.1086032,-0.9914951,86.6005790
48.0000000,1.1666286,0.0789010,63.0047211,-212.6695811
49.0000000,1.1530007,0.0456091,54.2631484,139.7406772
50.0000000,1.1152528,0.0198557,-206.2521050,-104.6060848
51.0000000,1.0647683,0.0129684,1.1267252,-187.9388636
52.0000000,1.0101971,0.0225637,-43.9798145,155.5258160
53.0000000,0.9528537,0.0329539,15.5812037,-140.0915179
54.0000000,0.8994577,0.0412245,0.4174413,-157.3818251
55.0000000,0.8473680,0.0477942,90.5602191,-72.0412187
56.0000000,0.7956320,0.0530754,-74.1915460,117.8744595
57.0000000,0.7506745,0.0568662,-134.3013345,51.3142873
58.0000000,0.7010182,0.0595201,-89.7436644,88.7780446
59.0000000,0.6690837,0.0613956,-120.7562746,51.0712367
60.0000000,0.6417208,0.0631010,-47.5280178,117.2430483
61.0000000,0.6140105,0.0639515,130.2322050,-71.4514743
62.0000000,0.5910775,0.0652024,52.6798495,203.2094664
63.0000000,0.5784273,0.0662181,258.6927659,41.6330539
64.0000000,0.5591296,0.0663027,-151.6572931,-16.9984014
65.0000000,0.5406241,0.0633424,-97.5279182,31.5805762
66.0000000,0.5284303,0.0634709,60.3300564,-176.9129983
67.0000000,0.5156695,0.0631017,-37.2002185,78.6390876
68.0000000,0.5029964,0.0619801,-210.6385063,-101.7117649
69.0000000,0.4925344,0.0610594,80.1245653,-176.3984083
70.0000000,0.4828787,0.0605234,114.8386948,-147.8791089
71.0000000,0.4739374,0.0598249,-106.4495431,-15.0262001
72.0000000,0.4649363,0.0590821,136.3867500,-138.2608512
73.0000000,0.4560976,0.0581050,-56.5038553,22.7395106
74.0000000,0.4498012,0.0571544,-145.2798692,-72.1620425
75.0000000,0.4442816,0.0560805,-130.2075892,-62.6245287
76.0000000,0.4374457,0.0550027,-11.2256430,51.0128938
77.0000000,0.4287047,0.0546859,-148.3309297,-90.8796534
78.0000000,0.4192389,0.0532261,-0.9568671,51.1011429
79.0000000,0.4126968,0.0522672,-109.6046736,-62.0329353
80.0000000,0.4047203,0.0517748,-114.2630261,-70.8767167
81.0000000,0.3964959,0.0513678,-14.9188492,24.5061515
82.0000000,0.3870247,0.0512051,8.4503970,44.3419232
83.0000000,0.3764781,0.0516539,136.1060931,168.1922299
84.0000000,0.3660953,0.0518563,7.9731270,36.4752786
85.0000000,0.3563812,0.0531647,-16.0440075,9.4098389
86.0000000,0.3455866,0.0547807,64.1058379,85.2090633
87.0000000,0.3353048,0.0575489,68.9045561,86.0122790
88.0000000,0.3281087,0.0624899,-182.2770139,-170.8437084
89.0000000,0.3200983,0.0665151,30.7483831,35.0130300
90.0000000,0.3121819,0.0695250,-12.1997779,-15.2962757
91.0000000,0.3043502,0.0729159,48.8472334,38.3123369
92.0000000,0.2962764,0.0766795,34.1268562,15.6006009
93.0000000,0.2898210,0.0805932,123.6372039,96.4072737
94.0000000,0.2845884,0.0841445,-42.8204981,-79.3165060
