f [Hz],|Accel|,|Force|,Arg(Accel) [deg],Arg(Force) [deg]
5.0000000,0.0211621,0.0076617,-50.5155611,-79.9785480
6.0000000,0.0372736,0.0077238,-212.5904941,113.2344909
7.0000000,0.0595013,0.0068496,-88.5205812,-127.3294071
8.0000000,0.0883611,0.0047612,140.5517948,98.1935303
9.0000000,0.1251408,0.0057372,114.6884881,-27.2875673
10.0000000,0.1716704,0.0080312,-167.6339427,75.7147762
11.0000000,0.2295726,0.0102056,-164.4960166,-54.6910413
12.0000000,0.3015932,0.0193612,-57.3543027,49.2443088
13.0000000,0.3872191,0.0314536,153.6200982,-105.3426417
14.0000000,0.4902326,0.0488820,107.0088036,200.5330836
15.0000000,0.5715988,0.0599589,164.9819329,-108.7773216
16.0000000,0.7108472,0.0819860,149.6986246,-126.4493253
17.0000000,0.8677554,0.1151066,231.8127870,-48.8219159
18.0000000,0.9535128,0.1471634,50.3748916,125.5100364
19.0000000,0.9795504,0.1669568,-31.3996599,36.1886403
20.0000000,1.0496706,0.2021179,-3.4562355,58.4852810
21.0000000,0.8986012,0.2015946,-48.0754911,6.7493832
22.0000000,0.7095724,0.1890013,10.4068200,60.3673163
23.0000000,0.4895924,0.1720792,-183.2508669,-138.5712348
24.0000000,0.2307926,0.1490784,104.1815289,-229.3281845
25.0000000,0.0841591,0.1296693,-5.3540195,-39.3858723
26.0000000,0.2140351,0.1083646,25.2904816,-103.7971858
27.0000000,0.4544246,0.0869277,78.9891401,-62.2798513
28.0000000,0.7652870,0.0564218,-136.1314153,84.5105837
29.0000000,0.9391907,0.0314746,109.2301681,-0.2563161
30.0000000,0.9879443,0.0308277,-72.6281173,-140.0385685
31.0000000,1.0265070,0.0386450,-145.8701896,159.2321204
32.0000000,1.1221954,0.0482814,-117.7184323,-150.1506491
33.0000000,1.1903252,0.0705069,10.6793478,-12.8970321
34.0000000,1.1035312,0.0811139,-112.6348518,-142.3973802
35.0000000,1.1038460,0.0914434,49.0890591,14.8454449
36.0000000,1.0815470,0.0996262,-43.2690658,-83.5889555
37.0000000,1.0240296,0.1123867,-33.8368651,-80.0249190
38.0000000,1.0074944,0.1188256,74.8534430,31.7331084
39.0000000,0.9350050,0.1210628,-64.6425145,-113.1047320
40.0000000,0.9032246,0.1183187,86.5576656,28.0609737
41.0000000,0.8642868,0.1180977,-15.7292767,-87.3527227
42.0000000,0.8238471,0.1183522,-18.4805259,262.4918595
43.0000000,0.7380197,0.1222781,76.9437249,-4.6602214
44.0000000,0.6792979,0.1247945,97.8490236,12.1011573
45.0000000,0.6148813,0.1264889,-135.4473075,-228.5915848
46.0000000,0.5164531,0.1276400,93.7301936,-3.9103338
47.0000000,0.4214987,0.1301065,72.3479300,-35.0254659
48.0000000,0.3703471,0.1336089,-199.5696770,37.4898609
49.0000000,0.2194286,0.1365897,-179.1261042,31.1512037
50.0000000,0.2973800,0.1366679,9.4404023,125.3641484
51.0000000,0.8071471,0.1154106,-137.1045670,-44.8004706
52.0000000,1.0441048,0.0590193,148.2087969,-98.5221824
53.0000000,1.0448113,0.0482933,-170.9343114,-2.5555146
54.0000000,0.9337593,0.0666493,158.4337641,-9.5505474
55.0000000,0.8797290,0.0794917,-120.1183605,76.4278585
56.0000000,0.7944425,0.0886707,69.9932342,-97.7130410
57.0000000,0.7690454,0.0947735,0.5793925,192.3474427
58.0000000,0.7186591,0.0984013,39.5676618,-133.5674369
59.0000000,0.7122222,0.1002534,6.8855379,185.5904006
60.0000000,0.7415800,0.1027477,77.3731731,-111.6716285
61.0000000,0.6402041,0.1030002,-109.5091518,55.1961634
62.0000000,0.6136336,0.1030188,169.6909336,-32.5755947
63.0000000,0.6181389,0.1049890,14.3280168,164.1761334
64.0000000,0.6241258,0.1069810,-40.6299607,-255.5929944
65.0000000,0.5830402,0.1077816,9.5699429,-211.8430467
66.0000000,0.5845340,0.1082909,-195.5601140,-64.0741253
67.0000000,0.5693307,0.1092545,61.6899773,-171.3788096
68.0000000,0.5565442,0.1101169,-117.2198715,5.5055307
69.0000000,0.5460948,0.1112357,-191.8336854,-73.6196289
70.0000000,0.5275371,0.1113807,-158.5948431,-51.0395919
71.0000000,0.5004137,0.1122589,-26.2100933,79.3732789
72.0000000,0.5183614,0.1130453,-144.1952161,-47.8577231
73.0000000,0.4877622,0.1112205,19.1634873,107.6320900
74.0000000,0.4791977,0.1109129,-73.1657983,7.5581025
75.0000000,0.4615305,0.1136419,-61.1643216,13.3819971
76.0000000,0.4987313,0.1139266,59.0510832,125.2646878
77.0000000,0.4986237,0.1132415,-77.9161769,-21.3231697
78.0000000,0.4785099,0.1154737,58.8597210,114.8508954
79.0000000,0.4446725,0.1177582,-54.9789999,-3.9690850
80.0000000,0.4508315,0.1174704,-57.3638551,-17.1986068
81.0000000,0.4273114,0.1191419,36.6309457,72.4406549
82.0000000,0.3906632,0.1206233,52.0055538,84.2540625
83.0000000,0.3788754,0.1223574,175.8188966,202.8390814
84.0000000,0.4114829,0.1219907,43.2680407,64.2906833
85.0000000,0.4093585,0.1227459,24.9252369,30.4323303
86.0000000,0.3066996,0.1259595,96.6802631,-260.1261305
87.0000000,0.2788702,0.1213770,86.6377115,89.7109580
88.0000000,0.2638808,0.1248268,-175.9054517,-173.5759261
89.0000000,0.3045880,0.1217389,45.8358750,28.8922576
90.0000000,0.2497580,0.1216201,-10.6877755,-23.2567221
91.0000000,0.2324140,0.1195579,57.8773112,26.6251013
92.0000000,0.2146508,0.1281731,33.9702988,0.6396734
93.0000000,0.2145213,0.1278018,122.9058898,79.2837350
94.0000000,0.2175135,0.1334579,-46.2575451,-98.8662003
95.0000000,0.2183712,0.1370708,-121.1006866,-173.0435296
96.0000000,0.1854119,0.1391461,-83.3047629,-142.7593470
