Time,Extension,Load
(s),(mm),(N)
"0.00000","0.00000","-0.53872"
"0.10000","0.00000","-0.24992"
"0.20000","0.00000","-0.04951"
"0.30000","0.00011","0.10016"
"0.40000","0.00021","-0.05157"
"0.50000","0.00032","0.35478"
"0.60000","0.00048","1.28427"
"0.70000","0.00059","2.05584"
"0.80000","0.00064","2.69330"
"0.90000","0.00075","3.66886"
"1.00000","0.00086","4.15947"
"1.10000","0.00091","5.12645"
"1.20000","0.00102","5.97136"
"1.30000","0.00107","6.60982"
"1.40000","0.00118","7.73227"
"1.50000","0.00129","8.38087"
"1.60000","0.00134","9.58572"
"1.70000","0.00145","10.29345"
"1.80000","0.00150","11.05370"
"1.90000","0.00161","11.91642"
"2.00000","0.00171","12.72084"
"2.10000","0.00177","13.30418"
"2.20000","0.00187","14.20387"
"2.30000","0.00193","15.21686"
"2.40000","0.00204","16.00433"
"2.50000","0.00214","16.62426"
"2.60000","0.00220","17.27960"
"2.70000","0.00230","18.16859"
"2.80000","0.00236","18.63333"
"2.90000","0.00246","19.47725"
"3.00000","0.00252","20.06060"
"3.10000","0.00262","20.66927"
"3.20000","0.00273","21.16048"
"3.30000","0.00279","21.81209"
"3.40000","0.00289","22.45700"
"3.50000","0.00295","23.09112"
"3.60000","0.00305","23.81643"
"3.70000","0.00316","24.36009"
"3.80000","0.00321","25.08350"
"3.90000","0.00332","25.61911"
"4.00000","0.00343","26.26028"
"4.10000","0.00348","27.12133"
"4.20000","0.00359","28.00241"
"4.30000","0.00370","28.19917"
"4.40000","0.00375","29.04811"
"4.50000","0.00386","29.60787"
"4.60000","0.00391","30.51958"
"4.70000","0.00402","30.66661"
"4.80000","0.00407","31.13799"
"4.90000","0.00418","31.96865"
"5.00000","0.00423","32.41362"
"5.10000","0.00434","32.85448"
"5.20000","0.00439","33.45663"
"5.30000","0.00450","33.87238"
"5.40000","0.00455","34.62509"
"5.50000","0.00466","35.03157"
"5.60000","0.00471","35.72498"
"5.70000","0.00482","36.27309"
"5.80000","0.00487","36.73937"
"5.90000","0.00493","36.82095"
"6.00000","0.00504","37.54799"
"6.10000","0.00509","38.17337"
